,Unnamed: 0,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj,lat,lon
265,480,Társasház,34852/A/1,József krt. 18,,Pi.,UDP,2,Csarnok negyed,Üres,Üres,Rossz állapotú,25.0,UDP,1/1/2000,14883.0,,,,0.0,0.0,47.4946783,19.0712552
278,506,Társasház,36487/A/1,Kőfaragó u. 5,,Pi.,RA,2,Palotanegyed,Üres,Üres,Közepes állapotú,66.0,UCH+UDP,7/29/2022,31668.0,"áram, gáz, víz",,,0.0,0.0,47.4935443,19.067687
283,522,Társasház,36660/A/1,Mária u. 6,,Pi.,1.,3,Palotanegyed,Üres,Üres,Közepes állapotú,70.0,UCP,9/24/2013,74241.0,víz,,,0.0,0.0,47.4922115,19.0691741
301,558,Társasház,35222/A/30,József u. 11,,Pi.,9.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,63.0,UCP,1/25/2010,12665.0,"áram, gáz, víz",,,0.0,0.0,47.490739,19.0725699
305,567,Társasház,36714/A/33,Krúdy u. 5,,as.,1.,1,Palotanegyed,Üres,Üres,Közepes állapotú,76.0,UDP,2/7/2011,20200.0,,,,0.0,0.0,47.4899847,19.0675294
314,587,Társasház,35901/A/29,Kálvária tér 11,,Pi.,RA,3,Orczy negyed,Üres,Üres,Rossz állapotú,46.0,UCP,8/10/2009,6385.0,"áram, víz",,,0.0,0.0,47.4882356,19.0872596
322,615,Önkormányzati bérház,35889//0,Kálvária u. 10,,Pi.,UCP,4,Orczy negyed,Üres,Üres,Rossz állapotú,70.0,UCP,7/14/1995,0.0,,,,0.0,0.0,47.48733619999999,19.0866936
326,622,Önkormányzati bérház,35352//0,Karácsony S. u. 10,,Pi.,UCP,3,Magdolna negyed,Üres,Üres,Rossz állapotú,157.0,UCP,9/22/2016,0.0,"áram, gáz, víz",,,0.0,0.0,47.4914011,19.0846526
350,655,Társasház,34619/A/2,Kenyérmező u. 6,,Pi.,IR/2,4,Népszínház negyed,Üres,Üres,Rossz állapotú,176.0,UDP,11/3/2011,39424.0,víz,,,0.0,0.0,47.498234,19.0776061
351,657,Társasház,35100/A/1,Kis Fuvaros u. 11,,Pi.,OV,3,Magdolna negyed,Üres,Üres,Közepes állapotú,123.0,UDP,1/1/2000,44100.0,,,,0.0,0.0,47.4938403,19.0799736
355,666,Társasház,35604/A/1,Kis Stáció u. 5,,Pi.,RA/1,2,Corvin negyed,Üres,Üres,Rossz állapotú,56.0,UCP,7/6/1999,8736.0,,,,0.0,0.0,47.4890979,19.0728933
357,670,Önkormányzati bérház,35609//0,Kisfaludy u. 10-12,,Fsz.,UDH,3,Corvin negyed,Üres,Üres,Rossz állapotú,21.0,UDH (földszinti),6/1/1996,0.0,,Bérlő,határozatlan ideig,94619.0,1135428.0,47.4887936,19.0722191
372,689,Társasház,34650/A/41,Kiss J. u. 11,,Pi.,UZ/1,3,Népszínház negyed,Üres,Üres,Rossz állapotú,125.0,UCP,4/14/2015,22700.0,"áram, gáz, víz",,,0.0,0.0,47.4969484,19.0743394
376,698,Társasház,36040/A/44,Korányi S. u. 10,,Pi.,UZ,4,Orczy negyed,Üres,Üres,Közepes állapotú,119.0,UCP,11/21/1994,14818.0,víz,,,0.0,0.0,47.48472510000001,19.08692
378,701,Önkormányzati bérház,35288/A/4,Koszorú u. 20,,Fsz.,IR/3B,4,Magdolna negyed,Üres,Üres,Rossz állapotú,68.0,UDH (földszinti),8/24/2013,0.0,"áram, gáz, víz",,,0.0,0.0,47.4904428,19.0802608
387,711,Társasház,36503/A/22,Vas u. 7,,as.,1.,3,Palotanegyed,Üres,Üres,Közepes állapotú,99.0,UCP,4/30/2019,62568.0,"áram, gáz, víz",,,0.0,0.0,47.4946595,19.0661022
388,713,Önkormányzati bérház,35892//0,Kőris u. 10,,Fsz.,UDH 1,4,Orczy negyed,Üres,Üres,Rossz állapotú,27.0,UDH (földszinti),6/30/2011,0.0,víz,,,0.0,251113.0,47.4873735,19.0872464
402,740,Társasház,36467/A/27,Somogyi B. u. 19,,Fsz.,MU/1,1,Palotanegyed,Kiadott,Üres,Jó állapotú,108.0,UCH,1/1/2016,22893.0,"áram, gáz, víz",,,0.0,581782.0,47.4939137,19.0694151
403,742,Társasház,34746/A/1,Kun u. 11,,Pi.,1.,4,Népszínház negyed,Üres,Üres,Közepes állapotú,70.0,UCP,2/5/2018,22678.0,víz,,,0.0,0.0,47.4942673,19.0815119
405,747,Társasház,34595/A/1,Légszesz u. 6,,Pi.,1.,4,Népszínház negyed,Üres,Üres,Közepes állapotú,48.0,UCP,4/16/2008,20412.0,víz,,,0.0,0.0,47.4984718,19.0801475
407,749,Társasház,35534/A/20,Leonardo da Vinci u. 1/b,,Pi.,OV,3,Corvin negyed,Üres,Üres,Rossz állapotú,51.0,UDP,1/26/2009,5775.0,,,,0.0,0.0,47.4888242,19.0780273
415,769,Társasház,35728/38/A/1,Losonci tér 7,,Fsz.,UZ/1,3,Losonci negyed,Kiadott,Üres,Közepes állapotú,199.0,UCH,12/21/2018,3980.0,hőmennyiség,,,0.0,80805.0,47.486978,19.081384
416,770,Társasház,36128/2/A/2,Lósy I. u. 3,,as.,UZ/2,3,Losonci negyed,Üres,Üres,Rossz állapotú,43.0,UCP,1/1/2000,11567.0,"áram, víz",,,0.0,0.0,47.4861212,19.0815573
419,774,Önkormányzati bérház,35160/2//0,Lovassy L. u. 4/b,,Fsz.,UDH 1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,117.0,UDH (földszinti),1/1/2000,0.0,,,,0.0,0.0,47.4913309,19.0774063
423,780,Társasház,35360/A/41,Lujza u. 1/b,,Pi.,RA/1,4,Magdolna negyed,Üres,Üres,Rossz állapotú,44.0,UCP,10/19/2000,11000.0,víz,,,0.0,0.0,47.4925809,19.0845573
473,840,Társasház,34637/A/2,Luther tömb 0,K4 lp.,Pi.,RA/2,4,Népszínház negyed,Üres,Üres,Rossz állapotú,139.0,UCP,1/1/2000,37795.0,"áram, víz",,,0.0,0.0,47.4974643,19.0763687
478,848,Társasház,35291/A/1,Magdolna u. 10/b,,Pi.,1.,4,Magdolna negyed,Üres,Üres,Közepes állapotú,62.0,UCP,1/1/2000,21264.0,víz,,,0.0,0.0,47.4901558,19.0809396
518,912,Társasház,36763/A/48,Üllői út 16/b,,Fsz.,UZ/48,1,Palotanegyed,Üres,Üres,Közepes állapotú,118.0,UDH (földszinti),1/19/2021,66090.0,,,,0.0,0.0,47.4883421,19.0648257
519,914,Társasház,35147/A/41,Mátyás tér 13,,Fsz.,ÜZ/2,3,Magdolna negyed,Üres,Üres,Közepes állapotú,22.0,UCH,12/30/2014,8600.0,"áram, víz",,,0.0,0.0,47.4923812,19.0804385
524,934,Társasház,34583/A/13,Mosonyi u. 1,,Pi.,1.,4,Kerepesdőlő,Üres,Üres,Közepes állapotú,147.0,UCP,7/17/2014,28182.0,víz,,,0.0,0.0,47.49824110000001,19.0818772
525,935,Társasház,36566/A/25,Múzeum u. 5,,Pi.,2.,1,Palotanegyed,Üres,Üres,Rossz állapotú,127.0,UCP,9/25/2014,16014.0,"áram, víz",,,0.0,0.0,47.4901382,19.0630064
527,937,Társasház,35063/A/1,Nagy Fuvaros u. 14,,Pi.,1.,2,Magdolna negyed,Üres,Üres,Közepes állapotú,70.0,UDP,6/5/2005,28620.0,víz,,,0.0,0.0,47.4934483,19.0781661
535,966,Önkormányzati bérház,35698//0,Nagytemplom u. 5,,Pi.,UCP,3,Corvin negyed,Üres,Üres,Rossz állapotú,51.0,UCP,3/6/1998,0.0,,,,0.0,0.0,47.4869467,19.0761025
536,968,Társasház,35619/A/19,Nap u. 18,,Pi.,MU,3,Corvin negyed,Üres,Üres,Közepes állapotú,129.0,UCP,11/11/2008,32825.0,víz,,,0.0,0.0,47.487644,19.0727027
546,984,Társasház,34903/A/65,Német u. 13,,Fsz.,ÜZ/3,2,Csarnok negyed,Kiadott,Üres,Rossz állapotú,25.0,UCH,8/18/2021,6555.0,"áram, víz",,,0.0,-171375.0,47.4915487,19.0733087
549,1010,Társasház,34820/A/5,Népszínház u. 17,,Pi.,UZ/5,3,Csarnok negyed,Üres,Üres,Rossz állapotú,315.39,UCP,3/23/2010,82214.0,víz,,,0.0,0.0,47.4956249,19.0725962
581,1068,Társasház,38745/2/A/1,Orczy út 16,,Pi.,1.,3,Tisztviselőtelep,Üres,Üres,Rossz állapotú,68.0,UDP,6/29/2020,14280.0,"áram, gáz, víz",,,0.0,0.0,47.4821125,19.0936336
584,1087,Társasház,35184/A/1,őr u. 6,,Pi.,MÜ/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,57.0,UCP,12/4/2017,34510.0,"áram, víz",,,0.0,0.0,47.4910619,19.0758718
587,1091,Társasház,36793/A/1,Pál u. 3,,Pi.,MU,3,Palotanegyed,Üres,Üres,Rossz állapotú,103.0,UCP,1/25/2010,59225.0,"áram, víz",,,0.0,0.0,47.4876042,19.0689447
589,1100,Társasház,36380/A/1,Práter u. 19,,Pi.,RA/1,2,Corvin negyed,Üres,Üres,Rossz állapotú,79.0,UCP,10/8/2008,21504.0,víz,,,0.0,0.0,47.4866373,19.073293
