,Kezelés,Helyrajzi és albetétszám,Cím,Lépcsőház,Emelet,Ajtó,Besorolási kategória,Negyed,2022szept_állapot,2023nov_állapot,Mőszaki állapot,Terület,Épületen belüli fekvés,Ü/Nü dátum,Tárgyhó KK,Mérőóra fajták,Aljogcím,Meddig,Aktuális hó bérleti / használati díj,Éves bérleti és / vagy használati díj
1017,Társasház,34818/A/76,Népszínház u. 19,,III.,TA/15,3,Csarnok negyed,Üres,Üres,Rossz állapotú,3.0,UDH (emeleti),2/16/2006,885.0,,,,0.0,0.0
1019,Társasház,34799/A/1,Népszínház u. 21,,Pi.,1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,26.0,UDP,1/28/2022,10192.0,víz,,,0.0,0.0
1026,Társasház,34679/A/13,Népszínház u. 22,,Fsz.,IR/14,3,Népszínház negyed,Üres,Üres,Rossz állapotú,72.0,UDH (földszinti),8/18/2021,16674.0,"gáz, víz",,,0.0,0.0
1027,Társasház,34679/A/14,Népszínház u. 22,,Fsz.,RA/14,3,Népszínház negyed,Üres,Üres,Rossz állapotú,69.0,UDH (földszinti),9/7/2021,17325.0,víz,,,0.0,0.0
1028,Társasház,34679/A/20,Népszínház u. 22,,Fe.,RA/6,3,Népszínház negyed,Üres,Üres,Rossz állapotú,60.0,UDH (emeleti),12/2/2008,13878.0,víz,,,0.0,0.0
1030,Társasház,34681/A/1,Népszínház u. 24,,Pi.,1.,3,Népszínház negyed,Üres,Üres,Rossz állapotú,74.0,UCP,1/1/2000,23040.0,,,,0.0,0.0
1031,Társasház,34681/A/2,Népszínház u. 24,,Pi.,2.,3,Népszínház negyed,Üres,Üres,Rossz állapotú,50.0,UCP,1/1/2000,15600.0,,,,0.0,0.0
1032,Társasház,34681/A/3,Népszínház u. 24,,Pi.,3.,3,Népszínház negyed,Üres,Üres,Rossz állapotú,98.0,UCP,1/1/2000,30480.0,,,,0.0,0.0
1034,Társasház,34681/A/16,Népszínház u. 24,,Fsz.,ÜZ/8,3,Népszínház negyed,Üres,Üres,Rossz állapotú,18.0,UDH (földszinti),1/1/2000,7849.0,,,,0.0,0.0
1035,Társasház,34786/A/1,Népszínház u. 25,,Pi.,1.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,34.05,UDP,4/25/2010,7791.0,"áram, gáz, víz",,,0.0,0.0
1036,Társasház,34786/A/2,Népszínház u. 25,,Pi.,4.,3,Csarnok negyed,Üres,Üres,Rossz állapotú,116.23,UDP,10/6/2005,25871.0,,,,0.0,0.0
1037,Társasház,34682/A/1,Népszínház u. 26,,Pi.,1.,3,Népszínház negyed,Üres,Üres,Rossz állapotú,84.0,UCP,11/5/2008,38544.0,víz,,,0.0,0.0
1039,Társasház,34776/A/1,Népszínház u. 31,,Fsz./Pi.,UZ/1,3,Csarnok negyed,Üres,Üres,Rossz állapotú,1057.0,UCH+UCP,9/23/2013,166553.0,"áram, gáz, víz",,,0.0,0.0
1041,Társasház,35056/A/1,Népszínház u. 33,,Pi.,RA/1,3,Magdolna negyed,Üres,Üres,Rossz állapotú,186.0,UCP,9/5/2005,57036.0,,,,0.0,0.0
1043,Társasház,35056/A/3,Népszínház u. 33,,Pi.,RA/2,3,Magdolna negyed,Üres,Üres,Rossz állapotú,185.0,UCP,7/6/2008,39951.0,víz,,,0.0,0.0
1047,Társasház,34772/A/34,Népszínház u. 34,,Pi.,OV,3,Népszínház negyed,Üres,Üres,Rossz állapotú,87.0,UDP,1/1/2000,12067.0,,,,0.0,0.0
